,h,m,s,RA,d,m.1,s.1,DEC,F60,F100,Td,B,M,Av
46,4,39,47.76,69.949,45,9,6.4,45.1517777777778,4.4777,21.431,23.3017792586375,8.27345298824539e-16,2.66054607579126e+28,5.263519677189965e-05
47,4,39,48.15,69.950625,45,7,23.5,45.1231944444444,4.3816,21.131,23.2588829037719,8.17955597619612e-16,2.6893841560371e+28,5.24941574897575e-05
48,4,39,49.29,69.955375,45,6,24.1,45.1066944444444,4.4137,21.299,23.2553919868471,8.171946621904339e-16,2.69090406031118e+28,5.2960763774589914e-05
49,4,39,49.31,69.9554583333333,45,4,45.1,45.0791944444445,4.6002,21.529,23.4293248959357,8.55695724338285e-16,2.56826313606629e+28,5.112407249163731e-05
50,4,39,50.08,69.9586666666667,45,3,6.1,45.0516944444444,4.4967,21.601,23.2810580292605,8.22800483014036e-16,2.66931191680499e+28,5.334574475712728e-05
51,4,39,51.59,69.9649583333333,45,1,46.9,45.0296944444444,4.3666,21.502,23.1420691216316,7.92753626250728e-16,2.76913096545298e+28,5.5113843670295815e-05
52,4,39,54.59,69.9774583333334,45,0,27.8,45.0077222222222,4.355,21.626,23.0952449175152,7.82801767746101e-16,2.80296690552879e+28,5.6136361294534254e-05
53,4,39,53.86,69.9744166666667,44,59,12.5,44.9868055555556,4.3281,22.519,22.8388779022614,7.29821531556046e-16,3.00504664113726e+28,6.26975920641204e-05
54,4,39,54.25,69.9760416666667,44,57,49.4,44.9637222222222,4.5025,23.122,22.9101642538484,7.44299172049886e-16,2.94508242226334e+28,6.312424564702823e-05
55,4,39,37.23,69.905125,45,12,12.2,45.2033888888889,4.8892,23.27,23.3334541839667,8.343254937081501e-16,2.64130293680527e+28,5.667357515592997e-05
56,4,39,38.75,69.9114583333333,45,10,33.3,45.1759166666667,4.686,22.157,23.3707299364186,8.425909907443179e-16,2.61380326293783e+28,5.343361920662204e-05
57,4,39,39.52,69.9146666666667,45,9,10.2,45.1528333333333,4.5149,21.667,23.2866402848218,8.24023174040059e-16,2.67133475945135e+28,5.342933924579185e-05
58,4,39,39.17,69.9132083333334,45,7,31.1,45.1253055555556,4.3897,21.175,23.2575691351518,8.176691713701119e-16,2.69045210483252e+28,5.2621886810322316e-05
59,4,39,39.57,69.914875,45,6,15.9,45.1044166666667,4.3971,21.096,23.2881604910261,8.24356361062995e-16,2.66739179155033e+28,5.200030359631125e-05
60,4,39,40.72,69.9196666666667,45,4,25.1,45.0736388888889,4.417,21.179,23.2914874454959,8.25085856356682e-16,2.66321489961968e+28,5.215873252628622e-05
61,4,39,41.86,69.9244166666667,45,3,5.9,45.0516388888889,4.3714,21.036,23.2711473698615,8.20632771172773e-16,2.67635963762399e+28,5.2087683441670585e-05
62,4,39,42.62,69.9275833333333,45,1,38.8,45.0274444444444,4.3,21.412,23.0798934555404,7.79557645957485e-16,2.8158647872419e+28,5.58121724357763e-05
63,4,39,45.26,69.9385833333333,45,0,19.7,45.0054722222222,4.2892,21.657,23.0030665820091,7.63460027088481e-16,2.87383449189844e+28,5.764100231619995e-05
64,4,39,45.27,69.938625,44,59,8.4,44.9856666666667,4.2874,22.295,22.8418601934892,7.30423310812499e-16,3.0024948378524e+28,6.202280897127377e-05
65,4,39,45.29,69.9387083333333,44,57,41.3,44.9614722222222,4.4283,22.95,22.860243728875,7.34140324126276e-16,2.98568631490006e+28,6.352166375822588e-05
66,4,39,28.61,69.8692083333333,45,12,0.1,45.2000277777778,4.895,23.261,23.3423753680266,8.36298640928891e-16,2.63487516505776e+28,5.6517997402805165e-05
67,4,39,29.02,69.8709166666667,45,10,33.0,45.1758333333333,4.6765,22.379,23.3026610459356,8.275390796623249e-16,2.66134019828077e+28,5.495057984128415e-05
68,4,39,30.92,69.8788333333333,45,8,46.1,45.1461388888889,4.5661,21.875,23.2963732203203,8.26157945748683e-16,2.66403706272966e+28,5.380285751466207e-05
69,4,39,30.94,69.8789166666667,45,7,34.8,45.1263333333333,4.4944,21.422,23.3252338000762,8.32510144739682e-16,2.64255019854441e+28,5.2286692951764024e-05
70,4,39,30.97,69.8790416666667,45,5,47.9,45.0966388888889,4.4026,21.287,23.2443865834991,8.14798899550316e-16,2.69821451437268e+28,5.3086555397374724e-05
71,4,39,32.12,69.8838333333333,45,4,32.7,45.07575,4.3017,21.224,23.1311342136163,7.904218891438569e-16,2.78014044763374e+28,5.4561773449424145e-05
72,4,39,32.52,69.8855,45,2,57.7,45.0493611111111,4.2249,21.178,23.0431591215423,7.7183206525078e-16,2.84543423526157e+28,5.575477499042414e-05
73,4,39,34.41,69.893375,45,1,42.5,45.0284722222222,4.2351,21.158,23.061737461549,7.75732707882854e-16,2.82981368153303e+28,5.542204189223909e-05
74,4,39,36.3,69.90125,45,0,7.5,45.0020833333333,4.2298,21.529,22.9589588882076,7.543214297409401e-16,2.90843195104019e+28,5.79945076875088e-05
75,4,39,37.06,69.9044166666667,44,59,12.1,44.9866944444444,4.2931,21.965,22.9304695109748,7.48458671377912e-16,2.93021165915108e+28,5.963242653228562e-05
76,4,39,36.71,69.9029583333333,44,57,56.9,44.9658055555556,4.4137,22.691,22.9041336923892,7.43066873391497e-16,2.95010321601525e+28,6.205036046746937e-05
